"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.730380000E-3,-1.227838174E-1,-4.373791814E-1,1.098029464E-1,4.673682715E-1
7.943140000E-3,-1.521053314E-1,-4.642572403E-1,1.012508348E-1,4.989213851E-1
1.015949400E-2,-1.826485693E-1,-4.886918366E-1,9.025526792E-2,5.294584256E-1
1.236876500E-2,-2.083048970E-1,-5.119046569E-1,8.292489499E-2,5.588504684E-1
1.458152600E-2,-2.290742993E-1,-5.363392830E-1,7.681624591E-2,5.882479041E-1
1.679433800E-2,-2.474002391E-1,-5.632173419E-1,7.315105945E-2,6.194931235E-1
1.900715100E-2,-2.596175373E-1,-5.937605500E-1,7.192932814E-2,6.520173960E-1
2.121991100E-2,-2.657261789E-1,-6.255255342E-1,7.070759684E-2,6.832950756E-1
2.343272300E-2,-2.706131041E-1,-6.597339511E-1,7.192932814E-2,7.166967047E-1
2.564553600E-2,-2.693913579E-1,-6.939423680E-1,7.559451461E-2,7.482260651E-1
2.785913000E-2,-2.632827163E-1,-7.293725610E-1,7.925970852E-2,7.794768905E-1
3.007110900E-2,-2.547306120E-1,-7.648026943E-1,8.659008145E-2,8.107457605E-1
3.228392100E-2,-2.425133139E-1,-8.002328873E-1,9.269873053E-2,8.412956888E-1
3.449668200E-2,-2.278525680E-1,-8.332195878E-1,1.000291109E-1,8.695846694E-1
3.670949400E-2,-2.107483447E-1,-8.625410795E-1,1.073594838E-1,8.943813713E-1
3.892230700E-2,-1.912006736E-1,-8.820887208E-1,1.122464016E-1,9.095259554E-1
4.113511900E-2,-1.692095399E-1,-8.955277801E-1,1.195767820E-1,9.191846822E-1
4.334788000E-2,-1.459966749E-1,-9.040798545E-1,1.269071549E-1,9.245435838E-1
4.556069200E-2,-1.215620935E-1,-9.065233469E-1,1.330158114E-1,9.242592316E-1
4.777350500E-2,-9.468404204E-2,-9.053016305E-1,1.391244531E-1,9.208103624E-1
4.998626500E-2,-6.536252797E-2,-9.053016305E-1,1.476765573E-1,9.195932078E-1
5.219907800E-2,-3.970621154E-2,-9.077450633E-1,1.550069451E-1,9.217401132E-1
5.441189000E-2,-1.160643063E-2,-9.126319885E-1,1.623373181E-1,9.270303450E-1
5.662470300E-2,1.404988952E-2,-9.162971973E-1,1.696676910E-1,9.319791192E-1
5.883746300E-2,3.604102135E-2,-9.224058390E-1,1.745546162E-1,9.394683608E-1
6.105027600E-2,5.803215504E-2,-9.224058390E-1,1.782197952E-1,9.412558410E-1
6.326308800E-2,7.513637096E-2,-9.175189137E-1,1.831067204E-1,9.386237278E-1
6.547584800E-2,9.101885557E-2,-9.101884961E-1,1.867718995E-1,9.336012387E-1
6.768866100E-2,1.044578776E-1,-9.004147053E-1,1.904370934E-1,9.262420721E-1
6.990147300E-2,1.166751757E-1,-8.869756460E-1,1.941022873E-1,9.154313689E-1
7.211428600E-2,1.276707351E-1,-8.747583628E-1,1.953240186E-1,9.053471611E-1
7.432704600E-2,1.398880333E-1,-8.588758707E-1,1.928805560E-1,8.913132626E-1
7.653985900E-2,1.484401375E-1,-8.503237963E-1,1.916588247E-1,8.842048055E-1
7.875267100E-2,1.594357044E-1,-8.405499458E-1,1.928805560E-1,8.770101847E-1
8.096543200E-2,1.692095399E-1,-8.368847370E-1,1.928805560E-1,8.753347019E-1
8.317824400E-2,1.814268380E-1,-8.393282294E-1,1.989891976E-1,8.814671151E-1
8.539105700E-2,1.912006736E-1,-8.564324379E-1,2.063195854E-1,9.014443907E-1
8.760386900E-2,2.009745091E-1,-8.649845123E-1,2.136499584E-1,9.133648037E-1
8.981663000E-2,2.119700760E-1,-8.576541543E-1,2.185368687E-1,9.100880861E-1
9.202944200E-2,2.193004489E-1,-8.466585875E-1,2.197586000E-1,9.017856136E-1
9.424220300E-2,2.290742993E-1,-8.344413042E-1,2.222020626E-1,8.933874195E-1
9.645501500E-2,2.351829410E-1,-8.271108866E-1,2.222020626E-1,8.881425511E-1
9.866782800E-2,2.437350452E-1,-8.234457374E-1,2.209803313E-1,8.867366923E-1
1.008805880E-1,2.498437017E-1,-8.148936033E-1,2.160934210E-1,8.793007600E-1
1.030934010E-1,2.547306120E-1,-8.063415289E-1,2.099847645E-1,8.713024430E-1
1.053062130E-1,2.571740746E-1,-8.038980365E-1,1.965457499E-1,8.666145565E-1
1.075189730E-1,2.571740746E-1,-8.148936033E-1,1.794415265E-1,8.731491000E-1
1.097317860E-1,2.388481349E-1,-8.808670044E-1,1.513417512E-1,9.251375231E-1
1.119445980E-1,2.156352699E-1,-9.309579134E-1,1.232419685E-1,9.635194803E-1
1.141574110E-1,1.899789423E-1,-9.688315392E-1,9.514218569E-2,9.918561313E-1
1.163701710E-1,1.667660922E-1,-9.834923148E-1,6.948586553E-2,9.999481728E-1
1.185829840E-1,1.423314959E-1,-9.920443892E-1,4.627300799E-2,1.003270410E0
1.207957960E-1,1.154534444E-1,-1.012813807E0,2.428187430E-2,1.019662157E0
1.230085570E-1,9.224057943E-2,-1.020144224E0,5.955931731E-3,1.024323209E0
1.252213690E-1,6.780599058E-2,-1.051909208E0,-5.039634649E-3,1.054104375E0
1.274341300E-1,4.337139800E-2,-1.084895849E0,-1.237001177E-2,1.085832906E0
1.296469420E-1,2.138026804E-2,-1.123991251E0,-1.237001177E-2,1.124262632E0
1.318597550E-1,1.832594397E-3,-1.165529966E0,-1.114828233E-2,1.165584722E0
1.340725150E-1,-1.527161989E-2,-1.194851518E0,2.290742937E-3,1.194951304E0
1.362853800E-1,-2.626718581E-2,-1.227838159E0,1.939495653E-2,1.228272231E0
1.384981400E-1,-3.604102135E-2,-1.257159710E0,3.894263133E-2,1.258278991E0
1.407109530E-1,-3.726275265E-2,-1.273042202E0,6.582067907E-2,1.275287153E0
1.429237130E-1,-3.481929377E-2,-1.284037709E0,9.514218569E-2,1.288028438E0
1.451365260E-1,-2.993237413E-2,-1.299920201E0,1.269071549E-1,1.306443226E0
1.473493380E-1,-1.527161989E-2,-1.302363753E0,1.623373181E-1,1.312531132E0
1.495620980E-1,6.108647794E-4,-1.293811560E0,2.002109289E-1,1.309210885E0
1.517749110E-1,1.771507785E-2,-1.302363753E0,2.368628234E-1,1.323846353E0
1.539877230E-1,4.337139800E-2,-1.293811560E0,2.735147178E-1,1.323117429E0
1.562004840E-1,6.902772188E-2,-1.270598769E0,3.126100600E-1,1.310309547E0
1.584132960E-1,9.957095981E-2,-1.252272844E0,3.468184769E-1,1.303220898E0
1.606261090E-1,1.362228394E-1,-1.215620875E0,3.785834610E-1,1.280474995E0
1.628388690E-1,1.802051067E-1,-1.159421325E0,4.079049528E-1,1.242223063E0
1.650516820E-1,2.290742993E-1,-1.099556565E0,4.311178327E-1,1.203063698E0
1.672645460E-1,2.816086709E-1,-1.032361507E0,4.531089365E-1,1.162059135E0
1.694773070E-1,3.390299380E-1,-9.663881063E-1,4.665479660E-1,1.125395164E0
1.716900670E-1,4.025598764E-1,-8.918625712E-1,4.775435328E-1,1.088816388E0
1.739028800E-1,4.685332775E-1,-8.161153197E-1,4.873173833E-1,1.059738590E0
1.761156920E-1,5.369501114E-1,-7.403681278E-1,4.934260249E-1,1.039196627E0
1.783284530E-1,6.065887213E-1,-6.682860851E-1,4.958694875E-1,1.029777994E0
1.805412650E-1,6.725621223E-1,-6.023126841E-1,4.958694875E-1,1.030051905E0
1.827540260E-1,7.336485982E-1,-5.351175666E-1,4.897608459E-1,1.031725139E0
1.849668380E-1,7.898481488E-1,-4.764745235E-1,4.812087417E-1,1.040408537E0
1.871796510E-1,8.436042666E-1,-4.166097939E-1,4.665479660E-1,1.050189927E0
1.893924630E-1,8.900299668E-1,-3.579667509E-1,4.470002949E-1,1.058349092E0
1.916052760E-1,9.315688014E-1,-3.042106628E-1,4.250091612E-1,1.068174773E0
1.938180360E-1,9.633337855E-1,-2.541197538E-1,3.981311321E-1,1.072891994E0
1.960308480E-1,9.950987101E-1,-2.101374865E-1,3.688096106E-1,1.081850144E0
1.982436610E-1,1.015868187E0,-1.710421443E-1,3.394880891E-1,1.084663888E0
2.004627760E-1,1.036637545E0,-1.380554438E-1,3.089448512E-1,1.090469452E0
2.026692340E-1,1.052520037E0,-1.111773923E-1,2.796233594E-1,1.094690853E0
2.048819940E-1,1.067180753E0,-8.429934084E-2,2.539670467E-1,1.100218341E0
2.070948070E-1,1.080619812E0,-6.475166976E-2,2.344193608E-1,1.107648136E0
2.093076190E-1,1.100167513E0,-4.642572254E-2,2.136499584E-1,1.121681866E0
2.115203800E-1,1.112384796E0,-3.054323979E-2,2.026543915E-1,1.131106373E0
2.137331920E-1,1.127045512E0,-1.588248461E-2,1.965457499E-1,1.144165229E0
2.159460050E-1,1.139262795E0,-2.443459118E-3,1.965457499E-1,1.156095117E0
2.181587650E-1,1.149036646E0,6.108647678E-3,1.989891976E-1,1.166155749E0
2.203715780E-1,1.161253929E0,1.588248461E-2,2.124282271E-1,1.180630634E0
2.225843900E-1,1.173471212E0,2.443459071E-2,2.295324355E-1,1.195958559E0
2.247972030E-1,1.184466839E0,3.298669681E-2,2.503018379E-1,1.211074244E0
2.270099630E-1,1.196684122E0,4.153880477E-2,2.747364342E-1,1.228518811E0
2.292227760E-1,1.205236197E0,4.398226365E-2,3.028362095E-1,1.243478387E0
2.314355880E-1,1.212566614E0,4.520399496E-2,3.309359848E-1,1.257728039E0
2.336483480E-1,1.224783897E0,4.153880477E-2,3.602575064E-1,1.277343548E0
2.358718380E-1,1.232114315E0,3.054323979E-2,3.908007443E-1,1.292967052E0
2.380739210E-1,1.239444613E0,1.588248461E-2,4.189005196E-1,1.308416160E0
2.402867340E-1,1.249218464E0,-1.221729559E-3,4.482220411E-1,1.327196768E0
2.424995460E-1,1.257770538E0,-1.466075517E-2,4.702131748E-1,1.342870841E0
2.447123590E-1,1.261435747E0,-2.809977904E-2,4.934260249E-1,1.354798503E0
2.469251190E-1,1.263879180E0,-4.642572254E-2,5.105302334E-1,1.363886743E0
2.491379320E-1,1.260214090E0,-6.597339362E-2,5.239692926E-1,1.366395207E0
2.513506920E-1,1.255327106E0,-8.552107215E-2,5.361865759E-1,1.367719284E0
2.535635050E-1,1.245553255E0,-1.099556610E-1,5.422952175E-1,1.362929661E0
2.557763170E-1,1.232114315E0,-1.331685185E-1,5.422952175E-1,1.352746703E0
2.579891300E-1,1.216231823E0,-1.612683088E-1,5.422952175E-1,1.341384142E0
2.602019420E-1,1.197905779E0,-1.905898154E-1,5.337430835E-1,1.325211082E0
2.624147030E-1,1.178358197E0,-2.247982323E-1,5.227475166E-1,1.308559228E0
2.646275150E-1,1.152701855E0,-2.675587833E-1,5.105302334E-1,1.288778642E0
2.668403280E-1,1.125823736E0,-3.103193045E-1,4.958694875E-1,1.268725228E0
2.690530880E-1,1.091615319E0,-3.579667509E-1,4.799869955E-1,1.245050889E0
2.712659010E-1,1.056185246E0,-4.031707644E-1,4.628827870E-1,1.221611400E0
2.734786610E-1,1.015868187E0,-4.459312856E-1,4.494437575E-1,1.197014025E0
2.756914730E-1,9.682206511E-1,-4.886918366E-1,4.347830117E-1,1.168463610E0
2.779042860E-1,9.205732346E-1,-5.277871490E-1,4.213439822E-1,1.141728999E0
2.801170980E-1,8.692606091E-1,-5.632173419E-1,4.115701318E-1,1.114548229E0
2.823298590E-1,8.167262077E-1,-5.925388336E-1,4.066832364E-1,1.087904050E0
2.845426710E-1,7.629700899E-1,-6.120865345E-1,4.066832364E-1,1.059322679E0
2.867554320E-1,7.079922557E-1,-6.267472506E-1,4.079049528E-1,1.029782307E0
2.889682440E-1,6.554579139E-1,-6.401863098E-1,4.079049528E-1,1.002920754E0
2.911810570E-1,6.029235125E-1,-6.462949514E-1,4.079049528E-1,9.734476753E-1
2.933938170E-1,5.516108871E-1,-6.511818767E-1,4.066832364E-1,9.453590122E-1
2.956066300E-1,5.015199780E-1,-6.524035931E-1,4.054614902E-1,9.173613010E-1
2.978194420E-1,4.502073526E-1,-6.450732350E-1,4.030180275E-1,8.838719757E-1
3.000322030E-1,4.037816226E-1,-6.365211010E-1,4.005745649E-1,8.536150730E-1
3.022450150E-1,3.536907136E-1,-6.230821013E-1,3.908007443E-1,8.161210987E-1
3.044601190E-1,3.011563420E-1,-6.071996093E-1,3.785834610E-1,7.763452485E-1
3.066705880E-1,2.559523284E-1,-5.949822664E-1,3.614792228E-1,7.417430285E-1
3.088834010E-1,2.083048970E-1,-5.839866996E-1,3.370446563E-1,7.057127572E-1
3.110962130E-1,1.643226296E-1,-5.681042671E-1,3.162752390E-1,6.706522286E-1
3.133089730E-1,1.191186309E-1,-5.448913574E-1,2.918406427E-1,6.294972600E-1
3.155218380E-1,7.635809481E-2,-5.106829405E-1,2.698495090E-1,5.826202724E-1
3.177345980E-1,3.481929377E-2,-4.728093445E-1,2.441931963E-1,5.332835799E-1
3.199473590E-1,-3.054323839E-3,-4.324922562E-1,2.148716897E-1,4.829375980E-1
3.221722030E-1,-3.481929377E-2,-3.958403766E-1,1.867718995E-1,4.390737175E-1
3.243729840E-1,-6.414080411E-2,-3.591884971E-1,1.550069451E-1,3.964310435E-1
3.265857960E-1,-8.735366166E-2,-3.249800503E-1,1.220202371E-1,3.579547927E-1
3.287985570E-1,-1.093447953E-1,-2.834412456E-1,9.147699922E-2,3.172747474E-1
3.310113690E-1,-1.276707351E-1,-2.419024557E-1,6.704241037E-2,2.816226189E-1
3.332241300E-1,-1.398880333E-1,-1.905898154E-1,4.382954910E-2,2.404457713E-1
3.354369420E-1,-1.521053314E-1,-1.221729591E-1,2.550360374E-2,1.967554258E-1
3.376497550E-1,-1.582139730E-1,-6.230820715E-2,1.450803876E-2,1.706588912E-1
3.398688170E-1,-1.594357044E-1,-2.443459118E-3,3.512472380E-3,1.594931089E-1
3.420753280E-1,-1.582139730E-1,4.886918142E-2,1.069013379E-3,1.655928771E-1
3.442881400E-1,-1.508836001E-1,9.407317638E-2,-1.527161949E-4,1.778078925E-1
3.465009530E-1,-1.411097646E-1,1.343902498E-1,3.512472380E-3,1.948975176E-1
3.487137130E-1,-1.215620935E-1,1.808159798E-1,8.399390616E-3,2.180419934E-1
3.509264730E-1,-9.712749720E-2,2.247982323E-1,1.572976820E-2,2.453883077E-1
3.531392860E-1,-7.147117704E-2,2.626718581E-1,2.550360374E-2,2.734137304E-1
3.553520980E-1,-4.337139800E-2,2.956585586E-1,3.649916872E-2,3.010436028E-1
3.575649110E-1,-9.162971750E-3,3.164279461E-1,4.993819445E-2,3.204753163E-1
3.597776710E-1,2.748891525E-2,3.249800503E-1,6.704241037E-2,3.329599951E-1
3.619904840E-1,6.536252797E-2,3.262017965E-1,8.536835015E-2,3.434641573E-1
3.642032960E-1,1.044578776E-1,3.139844835E-1,1.049160287E-1,3.471384121E-1
3.664161090E-1,1.459966749E-1,2.895499170E-1,1.293506175E-1,3.491214198E-1
3.686288690E-1,1.875354946E-1,2.577849329E-1,1.574503928E-1,3.555464239E-1
3.708416300E-1,2.315177470E-1,2.174678594E-1,1.879936308E-1,3.690993664E-1
