time_s,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
0.000000000,0.674064219,1.154175997,-0.769336224
0.009998000,0.650491238,1.411118031,-0.913965821
0.019995000,0.636098802,1.520345449,-0.968479693
0.029993000,0.606316686,1.514283895,-0.877798259
0.039991000,0.615438640,1.345528245,-0.612403333
0.049988000,0.744259417,1.086136580,-0.237176418
0.059986000,0.994496226,0.805386245,0.072096445
0.069984000,1.228101730,0.564222336,0.283134371
0.079982000,1.434643984,0.411962837,0.486025423
0.089979000,1.621735096,0.375810146,0.652412295
0.099977000,1.788754940,0.380911559,0.728258133
0.109975000,1.879737258,0.273708671,0.723354757
0.119972000,1.833716273,0.151553094,0.717179537
0.129970000,1.672461033,0.084626265,0.715003490
0.139968000,1.469517589,0.027793538,0.676657081
0.149966000,1.300725937,-0.064262085,0.594955564
0.159963000,1.159994364,-0.244251668,0.524052024
0.169961000,1.004036427,-0.643484592,0.522915363
0.179959000,0.821061671,-1.203464389,0.655619383
0.189956000,0.613951087,-1.707579255,0.883701325
0.199954000,0.457418114,-1.873235106,1.104518533
0.209952000,0.382899135,-1.888778090,1.196754932
0.219950000,0.347770542,-1.823014975,1.101873517
0.229947000,0.306304604,-1.506923556,0.879434586
0.239945000,0.242016047,-0.936078846,0.701065838
0.249943000,0.107302703,-0.407521278,0.613649964
0.259940000,-0.136069700,-0.251435280,0.561336458
0.269938000,-0.409693271,-0.352285743,0.511533737
0.279936000,-0.587269068,-0.521957874,0.420619458
0.289934000,-0.604195595,-0.587949932,0.279176027
0.299931000,-0.461609632,-0.540772855,0.140089169
0.309929000,-0.217447311,-0.448258936,0.092186891
0.319927000,0.014458486,-0.475952268,0.123611137
0.329924000,0.168366030,-0.637357175,0.190775782
0.339922000,0.226020843,-0.804013908,0.305706531
0.349920000,0.198433697,-0.875159204,0.393160224
0.359918000,0.102603428,-0.734444320,0.392161012
0.369915000,-0.036496669,-0.365695596,0.310706347
0.379913000,-0.211170524,0.117537126,0.230116040
0.389911000,-0.400458455,0.574986398,0.209805712
0.399908000,-0.611656904,0.826765835,0.265643507
0.409906000,-0.828227282,0.741319358,0.365862519
0.419904000,-0.978703260,0.480526447,0.534399748
0.429902000,-0.985854626,0.359969139,0.731968701
0.439899000,-0.870348155,0.406297654,0.849389672
0.449897000,-0.721334219,0.560654223,0.815018654
0.459895000,-0.607777059,0.764967740,0.669200301
0.469892000,-0.534874380,1.063728094,0.503627360
0.479890000,-0.520489335,1.408625245,0.399329752
0.489888000,-0.549580634,1.690242767,0.385086089
0.499886000,-0.583703101,1.961013675,0.417960614
0.509883000,-0.623657227,2.083554506,0.457065404
0.519881000,-0.652513981,1.872451067,0.467492342
0.529879000,-0.627355337,1.582010269,0.532895029
0.539876000,-0.555929124,1.212536097,0.627090395
0.549874000,-0.448488206,0.878147185,0.702970803
0.559872000,-0.324131817,0.739252269,0.692533433
0.569870000,-0.239868343,0.689394951,0.561121643
0.579867000,-0.177516922,0.774230897,0.401392907
0.589865000,-0.142610341,0.928305984,0.242176905
0.599863000,-0.129223779,1.144915938,0.118084692
0.609860000,-0.140928909,1.271281004,0.079201743
0.619858000,-0.170050338,1.241227150,0.082557388
0.629856000,-0.198759749,1.098367214,0.117098585
0.639854000,-0.227287233,0.800936520,0.106138818
0.649851000,-0.274591386,0.327651233,0.053312618
0.659849000,-0.288972050,-0.025019661,0.022834348
0.669847000,-0.265318900,-0.199578956,0.000069913
0.679844000,-0.213801965,-0.255037129,-0.063662380
0.689842000,-0.131426126,-0.234161437,-0.178119719
0.699840000,-0.067342803,-0.113782234,-0.311987430
0.709838000,-0.063864976,0.053519938,-0.389203399
0.719835000,0.082878433,-0.091540717,-0.328489542
0.729833000,0.571014822,-0.288939536,-0.028719069
0.739831000,1.012622595,-0.455738604,0.230640843
0.749828000,1.173942447,-0.161731735,0.468060851
0.759826000,0.993906200,0.071052097,0.624870896
0.769823620,0.677962899,-0.053230699,0.643948138
0.779821620,0.359704584,-0.055840589,0.667021930
0.789818620,0.096267618,0.095583819,0.649088442
0.799816620,0.249934986,0.601321578,0.199965373
0.809814620,0.827687562,0.975086927,-0.428238899
0.819811620,0.946951926,1.012872696,-0.249014422
0.829809620,0.399460137,0.905359030,0.123862751
0.839807620,0.001703879,0.845531523,0.273524851
0.849805620,-0.303475738,0.810510695,0.332836360
0.859802620,-0.627679467,0.711666048,0.432571948
0.869800620,-0.829986751,0.696913481,0.543623090
0.879798620,-1.011279106,0.819979548,0.641500711
0.889795620,-1.246358991,0.989798427,0.726155937
0.899793620,-1.466313243,1.124234915,0.742766023
0.909791620,-1.602540851,1.255164146,0.709295392
0.919789620,-1.612233639,1.469393253,0.745982051
0.929786620,-1.355293155,1.807551146,0.907906532
0.939784620,-1.125367045,1.760405183,1.014263034
0.949782620,-1.083719969,1.499901652,1.085356712
